Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Mercedes-Benz,Mercedes-Benz SUBCOMPACT 4.0L,SUBCOMPACT,4.0,8,A9,Z,18.5,8.6,15.2,19,354
Ford,Ford SUV 3.5L,SUV - STANDARD,3.5,6,A9,D,12.8,7.7,11.1,25,296
Toyota,Toyota PICKUP 3.0L,PICKUP TRUCK - STANDARD,3.0,6,AS6,X,13.0,6.4,10.8,26,247
Ford,Ford SUV 4.0L,SUV - SMALL,4.0,8,AS6,X,16.8,8.7,14.1,20,331
Lexus,Lexus VAN 3.6L,VAN - CARGO,3.6,6,A8,Z,14.8,6.4,12.0,24,279
Chevrolet,Chevrolet PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,A9,E,28.3,14.8,23.8,12,386
Honda,Honda PICKUP 2.4L,PICKUP TRUCK - SMALL,2.4,4,AV,Z,12.5,6.8,10.6,27,253
BMW,BMW PICKUP 2.5L,PICKUP TRUCK - STANDARD,2.5,4,AM7,X,11.9,5.0,9.6,29,227
Toyota,Toyota SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,M6,Z,11.5,7.3,10.1,28,234
Audi,Audi VAN 2.4L,VAN - CARGO,2.4,4,M6,X,11.0,5.3,9.1,31,215
Chevrolet,Chevrolet STATION 2.4L,STATION WAGON - SMALL,2.4,4,A6,X,10.6,5.8,9.0,31,214
Ram,Ram SUV 2.7L,SUV - STANDARD,2.7,6,AS10,X,13.4,6.2,11.0,26,261
Hyundai,Hyundai MINIVAN 1.5L,MINIVAN,1.5,4,A6,Z,10.1,5.3,8.5,33,209
Subaru,Subaru MINICOMPACT 5.0L,MINICOMPACT,5.0,8,AS10,Z,21.7,9.4,17.6,16,412
Lexus,Lexus SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,AS10,X,9.4,4.6,7.8,36,188
Nissan,Nissan STATION 1.8L,STATION WAGON - SMALL,1.8,4,A8,Z,10.7,4.7,8.7,32,202
Subaru,Subaru SUV 1.5L,SUV - SMALL,1.5,4,AM7,X,10.3,5.5,8.7,32,211
Ford,Ford VAN 4.0L,VAN - CARGO,4.0,8,M6,X,17.8,10.3,15.3,18,363
Chevrolet,Chevrolet PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.0,8.2,11.4,25,274
Ford,Ford SUBCOMPACT 3.6L,SUBCOMPACT,3.6,6,M6,E,18.5,11.3,16.1,18,261
BMW,BMW SUV 3.5L,SUV - STANDARD,3.5,6,A8,X,14.6,7.4,12.2,23,288
Mercedes-Benz,Mercedes-Benz FULL-SIZE 3.6L,FULL-SIZE,3.6,6,M6,Z,13.9,8.5,12.1,23,286
BMW,BMW MID-SIZE 3.0L,MID-SIZE,3.0,6,A8,N,12.3,6.6,10.4,27,185
Jeep,Jeep SUV 5.0L,SUV - STANDARD,5.0,8,A9,D,15.7,9.1,13.5,21,357
BMW,BMW VAN 3.5L,VAN - PASSENGER,3.5,6,AS10,X,13.7,9.2,12.2,23,281
BMW,BMW SUV 2.5L,SUV - STANDARD,2.5,4,AS6,E,15.9,8.1,13.3,21,224
Audi,Audi SUV 1.8L,SUV - SMALL,1.8,4,AV,Z,10.1,6.2,8.8,32,205
Ford,Ford MINICOMPACT 1.8L,MINICOMPACT,1.8,4,M6,Z,9.9,5.1,8.3,34,186
Jeep,Jeep FULL-SIZE 3.5L,FULL-SIZE,3.5,6,AV,E,18.5,10.1,15.7,18,264
Ford,Ford MID-SIZE 3.0L,MID-SIZE,3.0,6,AS10,Z,14.8,10.0,13.2,21,311
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,A6,X,7.3,4.3,6.3,45,147
Hyundai,Hyundai COMPACT 1.8L,COMPACT,1.8,4,AS8,X,10.7,5.6,9.0,31,212
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,AV,X,13.4,5.6,10.8,26,258
Ford,Ford PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AM7,X,20.8,8.5,16.7,17,395
Jeep,Jeep MID-SIZE 2.4L,MID-SIZE,2.4,4,AV,X,10.0,5.8,8.6,33,207
Volkswagen,Volkswagen COMPACT 2.5L,COMPACT,2.5,4,A9,X,12.4,4.9,9.9,29,231
Volkswagen,Volkswagen SUBCOMPACT 2.0L,SUBCOMPACT,2.0,4,M6,X,11.0,5.6,9.2,31,213
Hyundai,Hyundai PICKUP 2.4L,PICKUP TRUCK - STANDARD,2.4,4,AM7,X,10.4,5.3,8.7,32,208
Ford,Ford VAN 3.3L,VAN - PASSENGER,3.3,6,M6,E,19.2,8.7,15.7,18,252
BMW,BMW MINIVAN 2.5L,MINIVAN,2.5,4,A6,Z,10.9,7.9,9.9,29,222
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A6,X,18.6,8.4,15.2,19,361
Dodge,Dodge SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,AS8,Z,11.4,5.7,9.5,30,220
Nissan,Nissan SUV 2.5L,SUV - STANDARD,2.5,4,AM7,X,10.5,6.3,9.1,31,214
BMW,BMW MINICOMPACT 1.8L,MINICOMPACT,1.8,4,AV,Z,10.4,7.1,9.3,30,218
Ford,Ford MINICOMPACT 3.6L,MINICOMPACT,3.6,6,A8,E,19.9,8.8,16.2,17,266
BMW,BMW VAN 5.0L,VAN - PASSENGER,5.0,8,A6,Z,20.8,10.6,17.4,16,410
BMW,BMW TWO-SEATER 1.5L,TWO-SEATER,1.5,3,AM7,E,12.3,6.0,10.2,28,175
Volkswagen,Volkswagen MINICOMPACT 3.6L,MINICOMPACT,3.6,6,AS6,Z,14.6,9.2,12.8,22,306
Nissan,Nissan COMPACT 2.4L,COMPACT,2.4,4,M6,Z,12.3,7.8,10.8,26,257
Dodge,Dodge VAN 3.0L,VAN - PASSENGER,3.0,6,AS10,E,18.5,11.0,16.0,18,269
Toyota,Toyota SUV 1.8L,SUV - STANDARD,1.8,3,A9,Z,9.7,7.0,8.8,32,215
Ford,Ford VAN 5.3L,VAN - PASSENGER,5.3,8,AV,D,17.2,9.4,14.6,19,391
Volkswagen,Volkswagen SUV 1.8L,SUV - SMALL,1.8,4,A6,E,13.5,7.2,11.4,25,185
Hyundai,Hyundai MINICOMPACT 5.0L,MINICOMPACT,5.0,8,AS8,X,17.8,11.8,15.8,18,370
Audi,Audi COMPACT 1.5L,COMPACT,1.5,4,A6,Z,9.7,5.2,8.2,34,195
Hyundai,Hyundai MINIVAN 2.5L,MINIVAN,2.5,4,AS10,X,11.3,7.4,10.0,28,241
Toyota,Toyota FULL-SIZE 3.0L,FULL-SIZE,3.0,6,AV,D,12.2,8.3,10.9,26,293
Toyota,Toyota SUV 2.5L,SUV - STANDARD,2.5,4,M6,Z,11.6,6.8,10.0,28,231
Mercedes-Benz,Mercedes-Benz MINIVAN 2.5L,MINIVAN,2.5,4,M6,Z,12.8,6.2,10.6,27,242
Ford,Ford PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,M5,X,14.4,6.9,11.9,24,281
Ford,Ford VAN 5.0L,VAN - PASSENGER,5.0,8,M5,X,18.5,8.9,15.3,18,364
Ford,Ford VAN 3.5L,VAN - PASSENGER,3.5,6,A9,X,15.1,7.0,12.4,23,291
Nissan,Nissan VAN 3.0L,VAN - PASSENGER,3.0,6,A9,Z,13.9,8.5,12.1,23,286
BMW,BMW FULL-SIZE 2.0L,FULL-SIZE,2.0,4,AM7,E,14.1,7.2,11.8,24,191
Toyota,Toyota TWO-SEATER 5.0L,TWO-SEATER,5.0,8,M5,X,18.3,9.0,15.2,19,350
Lexus,Lexus STATION 2.5L,STATION WAGON - SMALL,2.5,4,AS8,Z,11.6,6.8,10.0,28,230
Chevrolet,Chevrolet SUV 5.3L,SUV - STANDARD,5.3,8,AM7,E,27.7,14.8,23.4,12,394
Mercedes-Benz,Mercedes-Benz MID-SIZE 3.6L,MID-SIZE,3.6,6,M6,Z,16.2,9.0,13.8,20,322
Hyundai,Hyundai MINIVAN 2.0L,MINIVAN,2.0,3,M5,Z,11.1,6.0,9.4,30,224
Chevrolet,Chevrolet SUV 5.0L,SUV - STANDARD,5.0,8,A6,X,17.4,12.3,15.7,18,364
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,AS6,D,14.2,6.7,11.7,24,309
BMW,BMW VAN 3.0L,VAN - CARGO,3.0,6,A6,Z,15.0,9.9,13.3,21,319
Chevrolet,Chevrolet PICKUP 1.8L,PICKUP TRUCK - SMALL,1.8,4,AV,X,9.8,6.2,8.6,33,195
Subaru,Subaru COMPACT 2.5L,COMPACT,2.5,4,M5,X,11.8,6.7,10.1,28,235
Jeep,Jeep SUV 2.5L,SUV - STANDARD,2.5,4,AS8,X,10.9,7.9,9.9,29,233
Nissan,Nissan FULL-SIZE 4.0L,FULL-SIZE,4.0,8,A9,X,18.4,7.6,14.8,19,353
Dodge,Dodge VAN 3.6L,VAN - PASSENGER,3.6,6,AV,X,15.1,6.4,12.2,23,283
Jeep,Jeep STATION 3.6L,STATION WAGON - SMALL,3.6,6,AV,X,15.3,9.6,13.4,21,314
Chevrolet,Chevrolet TWO-SEATER 2.4L,TWO-SEATER,2.4,4,A8,X,9.4,5.8,8.2,34,196
Lexus,Lexus PICKUP 1.8L,PICKUP TRUCK - SMALL,1.8,4,A6,D,9.7,4.6,8.0,35,213
Audi,Audi SUBCOMPACT 4.0L,SUBCOMPACT,4.0,8,A8,D,14.0,9.2,12.4,23,330
Jeep,Jeep MINICOMPACT 1.5L,MINICOMPACT,1.5,4,A9,E,11.6,8.0,10.4,27,178
Lexus,Lexus PICKUP 3.0L,PICKUP TRUCK - STANDARD,3.0,6,AS10,Z,14.5,7.0,12.0,24,283
BMW,BMW VAN 1.5L,VAN - CARGO,1.5,4,AS6,Z,9.2,4.7,7.7,37,180
Ford,Ford MID-SIZE 5.0L,MID-SIZE,5.0,8,M6,E,24.5,17.3,22.1,13,373
Chevrolet,Chevrolet VAN 5.0L,VAN - PASSENGER,5.0,8,M6,X,17.9,11.3,15.7,18,371
Mercedes-Benz,Mercedes-Benz STATION 2.4L,STATION WAGON - SMALL,2.4,4,AS8,X,10.8,4.8,8.8,32,207
Jeep,Jeep SUV 3.0L,SUV - STANDARD,3.0,6,A9,E,19.6,10.6,16.6,17,275
Dodge,Dodge VAN 1.8L,VAN - CARGO,1.8,3,AS6,X,10.2,6.0,8.8,32,205
Ford,Ford SUV 3.5L,SUV - STANDARD,3.5,6,AM7,X,13.9,6.4,11.4,25,269
Toyota,Toyota SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,A6,Z,11.6,5.0,9.4,30,223
Mercedes-Benz,Mercedes-Benz SUV 1.8L,SUV - STANDARD,1.8,4,A8,Z,11.7,5.1,9.5,30,222
Chevrolet,Chevrolet FULL-SIZE 3.6L,FULL-SIZE,3.6,6,AS6,X,15.2,7.4,12.6,22,295
Ford,Ford SUV 5.3L,SUV - STANDARD,5.3,8,AV,X,20.1,8.1,16.1,18,383
BMW,BMW SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,A8,Z,13.7,9.8,12.4,23,290
Porsche,Porsche COMPACT 4.0L,COMPACT,4.0,8,A9,Z,17.0,10.1,14.7,19,348
BMW,BMW MINIVAN 2.0L,MINIVAN,2.0,4,AV,X,11.5,7.0,10.0,28,236
Toyota,Toyota VAN 1.8L,VAN - PASSENGER,1.8,4,AS10,X,10.7,6.5,9.3,30,218
Volkswagen,Volkswagen SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,M5,X,17.9,12.2,16.0,18,375
BMW,BMW COMPACT 4.0L,COMPACT,4.0,8,M5,Z,17.0,8.9,14.3,20,344
Ram,Ram VAN 5.0L,VAN - PASSENGER,5.0,8,M6,E,23.7,17.1,21.5,13,352
Ram,Ram PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,21.5,11.0,18.0,16,426
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,AM7,X,14.0,6.2,11.4,25,269
Toyota,Toyota MINICOMPACT 3.5L,MINICOMPACT,3.5,6,A8,Z,15.0,10.8,13.6,21,321
BMW,BMW FULL-SIZE 1.8L,FULL-SIZE,1.8,4,AM7,X,9.0,3.6,7.2,39,173
BMW,BMW SUV 2.4L,SUV - SMALL,2.4,4,AS10,X,12.3,5.1,9.9,29,230
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,A6,E,20.9,10.7,17.5,16,297
Nissan,Nissan VAN 4.0L,VAN - PASSENGER,4.0,8,AS8,Z,18.0,9.6,15.2,19,355
Toyota,Toyota SUV 3.6L,SUV - SMALL,3.6,6,AS6,X,13.7,7.1,11.5,25,269
Ford,Ford SUV 4.0L,SUV - STANDARD,4.0,8,AS10,X,16.2,9.9,14.1,20,335
BMW,BMW PICKUP 3.6L,PICKUP TRUCK - STANDARD,3.6,6,AS6,Z,14.8,9.4,13.0,22,299
Lexus,Lexus SUBCOMPACT 1.8L,SUBCOMPACT,1.8,4,AS8,X,10.3,4.9,8.5,33,194
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,AS10,E,18.1,7.6,14.6,19,242
Ford,Ford VAN 2.7L,VAN - PASSENGER,2.7,6,AV,E,18.9,9.9,15.9,18,268
Toyota,Toyota PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,AS8,X,10.4,5.3,8.7,32,195
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,A8,X,8.1,3.5,6.5,43,146
Chevrolet,Chevrolet FULL-SIZE 3.0L,FULL-SIZE,3.0,6,A8,E,17.0,12.2,15.4,18,245
Honda,Honda COMPACT 3.6L,COMPACT,3.6,6,AS6,X,14.1,7.2,11.8,24,267
Hyundai,Hyundai SUV 2.0L,SUV - STANDARD,2.0,4,AV,X,10.4,6.5,9.1,31,215
Chevrolet,Chevrolet PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,M5,X,19.6,11.5,16.9,17,396
Volkswagen,Volkswagen SUV 2.5L,SUV - SMALL,2.5,4,AS10,Z,12.9,6.9,10.9,26,256
BMW,BMW MINIVAN 3.5L,MINIVAN,3.5,6,M6,Z,15.3,10.2,13.6,21,319
Nissan,Nissan VAN 3.6L,VAN - PASSENGER,3.6,6,AS10,Z,16.1,8.3,13.5,21,319
Nissan,Nissan PICKUP 1.5L,PICKUP TRUCK - STANDARD,1.5,4,AM7,D,8.3,4.1,6.9,41,182
Audi,Audi SUV 1.8L,SUV - SMALL,1.8,4,A8,Z,10.8,5.7,9.1,31,211
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,A9,X,19.5,9.6,16.2,17,382
GMC,GMC VAN 5.0L,VAN - CARGO,5.0,8,AV,Z,20.8,10.0,17.2,16,400
BMW,BMW COMPACT 3.0L,COMPACT,3.0,6,AS10,Z,14.7,8.1,12.5,23,297
Chevrolet,Chevrolet VAN 5.3L,VAN - PASSENGER,5.3,8,AM7,X,19.1,10.7,16.3,17,386
Ford,Ford PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,A8,X,21.0,11.4,17.8,16,418
Nissan,Nissan STATION 3.0L,STATION WAGON - SMALL,3.0,6,A8,Z,13.8,7.2,11.6,24,264
Honda,Honda PICKUP 4.0L,PICKUP TRUCK - STANDARD,4.0,8,M5,X,16.3,9.7,14.1,20,331
Ford,Ford PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,AM7,X,13.5,9.0,12.0,24,285
Toyota,Toyota VAN 5.0L,VAN - PASSENGER,5.0,8,M6,X,18.4,10.6,15.8,18,370
Chevrolet,Chevrolet SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,AS8,Z,14.6,10.1,13.1,22,316
Nissan,Nissan SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,AS10,X,9.6,5.7,8.3,34,195
Chevrolet,Chevrolet PICKUP 3.0L,PICKUP TRUCK - SMALL,3.0,6,M5,X,11.9,8.0,10.6,27,246
Honda,Honda VAN 2.5L,VAN - CARGO,2.5,4,M5,X,12.1,6.4,10.2,28,238
Mercedes-Benz,Mercedes-Benz SUV 4.0L,SUV - SMALL,4.0,8,AS8,X,17.9,11.9,15.9,18,366
Subaru,Subaru PICKUP 2.5L,PICKUP TRUCK - SMALL,2.5,4,M6,Z,11.0,7.1,9.7,29,224
Ford,Ford VAN 2.5L,VAN - PASSENGER,2.5,4,AS8,Z,12.2,8.3,10.9,26,249
BMW,BMW MID-SIZE 2.0L,MID-SIZE,2.0,4,M6,Z,11.2,7.0,9.8,29,234
Ford,Ford STATION 3.6L,STATION WAGON - SMALL,3.6,6,A6,Z,15.2,8.6,13.0,22,305
Subaru,Subaru FULL-SIZE 2.4L,FULL-SIZE,2.4,4,AM7,X,10.1,5.6,8.6,33,207
Dodge,Dodge SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,A6,Z,14.0,8.9,12.3,23,288
Chevrolet,Chevrolet SUV 5.0L,SUV - STANDARD,5.0,8,M6,X,18.9,9.0,15.6,18,367
Honda,Honda PICKUP 3.0L,PICKUP TRUCK - STANDARD,3.0,6,AV,X,15.4,8.8,13.2,21,314
Jeep,Jeep COMPACT 4.0L,COMPACT,4.0,8,M6,Z,17.5,10.0,15.0,19,356
Audi,Audi PICKUP 2.4L,PICKUP TRUCK - STANDARD,2.4,4,A9,D,8.3,5.3,7.3,39,199
Toyota,Toyota COMPACT 3.0L,COMPACT,3.0,6,A6,X,14.0,6.8,11.6,24,271
Chevrolet,Chevrolet SUV 6.2L,SUV - STANDARD,6.2,8,AM7,X,21.6,13.5,18.9,15,442
Ford,Ford VAN 4.0L,VAN - CARGO,4.0,8,M6,X,17.0,8.6,14.2,20,332
Lexus,Lexus MINIVAN 2.5L,MINIVAN,2.5,4,AM7,Z,13.1,5.6,10.6,27,251
Lexus,Lexus TWO-SEATER 2.0L,TWO-SEATER,2.0,4,A8,X,10.2,6.0,8.8,32,204
Nissan,Nissan PICKUP 3.0L,PICKUP TRUCK - SMALL,3.0,6,M6,X,14.8,7.3,12.3,23,297
BMW,BMW MID-SIZE 2.0L,MID-SIZE,2.0,4,A6,X,10.1,5.6,8.6,33,205
BMW,BMW MINIVAN 1.8L,MINIVAN,1.8,3,A8,Z,11.2,4.6,9.0,31,209
Volkswagen,Volkswagen PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,A6,X,13.9,7.0,11.6,24,272
Lexus,Lexus MINIVAN 2.5L,MINIVAN,2.5,4,AM7,Z,12.6,8.4,11.2,25,261
Dodge,Dodge PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,M5,E,20.0,14.0,18.0,16,302
Hyundai,Hyundai VAN 1.8L,VAN - PASSENGER,1.8,4,AM7,X,10.2,5.7,8.7,32,210
Nissan,Nissan TWO-SEATER 3.5L,TWO-SEATER,3.5,6,A6,X,14.6,9.2,12.8,22,304
Ford,Ford VAN 2.7L,VAN - PASSENGER,2.7,6,M5,X,14.2,6.1,11.5,25,277
Chevrolet,Chevrolet SUV 2.7L,SUV - STANDARD,2.7,6,A9,X,13.0,7.0,11.0,26,259
Lexus,Lexus SUV 1.8L,SUV - STANDARD,1.8,4,M6,E,13.9,8.2,12.0,24,197
Nissan,Nissan STATION 2.0L,STATION WAGON - SMALL,2.0,3,AS6,X,9.0,5.7,7.9,36,187
Ford,Ford PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AS6,X,19.3,12.1,16.9,17,398
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,AM7,X,13.5,6.0,11.0,26,258
Honda,Honda MID-SIZE 2.0L,MID-SIZE,2.0,4,M6,Z,10.9,5.2,9.0,31,211
Ford,Ford VAN 5.3L,VAN - PASSENGER,5.3,8,A9,E,27.4,11.8,22.2,13,375
Chevrolet,Chevrolet MINIVAN 3.5L,MINIVAN,3.5,6,A9,X,15.4,7.3,12.7,22,295
Audi,Audi VAN 3.0L,VAN - PASSENGER,3.0,6,AS10,X,14.6,10.1,13.1,22,304
Honda,Honda SUV 2.0L,SUV - SMALL,2.0,4,M5,X,10.0,4.9,8.3,34,195
Honda,Honda FULL-SIZE 2.5L,FULL-SIZE,2.5,4,AV,X,10.9,7.9,9.9,29,233
Chevrolet,Chevrolet PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,AS8,D,19.3,7.9,15.5,18,414
Volkswagen,Volkswagen FULL-SIZE 5.0L,FULL-SIZE,5.0,8,A6,Z,20.4,11.1,17.3,16,409
Chevrolet,Chevrolet SUV 3.5L,SUV - STANDARD,3.5,6,A9,X,13.6,9.7,12.3,23,287
BMW,BMW MINICOMPACT 2.5L,MINICOMPACT,2.5,4,M5,Z,12.7,6.7,10.7,26,247
Volkswagen,Volkswagen SUV 2.5L,SUV - STANDARD,2.5,4,AS8,Z,12.7,5.8,10.4,27,245
Nissan,Nissan MINIVAN 3.6L,MINIVAN,3.6,6,AS8,X,16.0,6.7,12.9,22,305
GMC,GMC VAN 5.3L,VAN - PASSENGER,5.3,8,M5,X,19.0,12.1,16.7,17,393
Honda,Honda SUV 3.6L,SUV - STANDARD,3.6,6,AV,Z,14.2,9.4,12.6,22,294
Audi,Audi MINICOMPACT 5.0L,MINICOMPACT,5.0,8,M5,Z,20.2,8.2,16.2,17,377
Ford,Ford VAN 5.0L,VAN - PASSENGER,5.0,8,AS6,X,18.9,11.7,16.5,17,387
BMW,BMW MINICOMPACT 4.0L,MINICOMPACT,4.0,8,M5,Z,16.2,11.1,14.5,19,349
Chevrolet,Chevrolet SUV 3.5L,SUV - STANDARD,3.5,6,M5,X,13.9,8.8,12.2,23,288
Chevrolet,Chevrolet SUV 3.3L,SUV - STANDARD,3.3,6,M6,X,13.6,8.8,12.0,24,277
Ram,Ram PICKUP 1.5L,PICKUP TRUCK - SMALL,1.5,4,AV,Z,10.1,5.6,8.6,33,199
Mercedes-Benz,Mercedes-Benz PICKUP 3.6L,PICKUP TRUCK - SMALL,3.6,6,A9,D,13.1,5.6,10.6,27,278
Lexus,Lexus PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,A8,X,15.5,7.4,12.8,22,301
Nissan,Nissan TWO-SEATER 5.0L,TWO-SEATER,5.0,8,AS8,Z,20.8,10.3,17.3,16,401
Jeep,Jeep TWO-SEATER 2.4L,TWO-SEATER,2.4,4,AV,Z,13.2,6.0,10.8,26,255
Toyota,Toyota PICKUP 5.0L,PICKUP TRUCK - SMALL,5.0,8,M5,X,20.1,9.6,16.6,17,388
Audi,Audi SUBCOMPACT 3.0L,SUBCOMPACT,3.0,6,M6,X,16.1,8.9,13.7,21,316
